Lon	Lat	Region	TypeCatOld	KW_Simple	KW_Working	Name	Map
43.26652	36.14235	Aqur	towns	cite	cite	Marǧ Ǧuhaynaŧ/Mar Ǧuhaynaŧ	cornu2
40.76153	36.16114	Aqur	towns	cite	cite	Ṭābān/Ṭalabān	cornu2
40.75853	36.19626	Aqur	villages	localite	localite	al-Maṭariyyaŧ	cornu2
41.62102	36.23740	Aqur	towns	cite	cite	al-Ǧibāl/ʿAyn al-Ǧibāl	cornu2
42.76550	36.25676	Aqur	villages	localite	localite	al-Maḥlabiyyaŧ	cornu2
42.96650	36.27006	Aqur	waystations	etape	etape	al-Šaḥḥāǧiyyaŧ	cornu2
41.89101	36.32446	Aqur	towns	cite	cite	Sinǧār	cornu2
43.12700	36.32809	Aqur	capitals	capitale	capitale	al-Mawṣil	cornu2
38.91206	36.34984	Aqur	waystations	etape	etape	ʿAyn al-Rūmiyyaŧ ?	cornu2
43.17500	36.35104	Aqur	towns	cite	cite	Nīnawá/Nūnawā	cornu2
42.49401	36.36312	Aqur	towns	cite	cite	Tall Aʿfar	cornu2
43.87398	36.37520	Aqur	waters	riviere	riviere	Zāb al-Kabīr/Zāb al-Aʿlá	cornu2
41.25352	36.38728	Aqur	waters	lac	lac	Buḥayraŧ Ḫātūniyyaŧ	cornu2
39.07106	36.38728	Aqur	towns	cite	cite	Ḥiṣn Maslamaŧ	cornu2
40.87703	36.38969	Aqur	towns	cite	cite	Tunānīr/Tunaynīr	cornu2
43.36699	36.41022	Aqur	villages	bourgade	bourgade	Bāʿašīqā	cornu2
42.75800	36.47417	Aqur	towns	cite	cite	Balad	cornu2
40.55153	36.53446	Aqur	towns	cite	cite	al-Maǧdal	cornu2
37.98957	36.54651	Aqur	towns	cite	cite	Manbiǧ	cornu2
38.98256	36.56338	Aqur	regions	circonscription	circonscription	Diyār Muḍar	cornu2
39.13855	36.61998	Aqur	towns	cite	cite	Tall Maḥrá/Tall Baḥrá ?	cornu2
43.05500	36.63683	Aqur	villages	localite	localite	Mazāriʿī ?	cornu2
41.99451	36.65368	Aqur	regions	circonscription	circonscription	Diyār Rabīʿaŧ	cornu2
40.41354	36.65489	Aqur	towns	cite	cite	al-Ǧaḥšiyyaŧ	cornu2
42.43701	36.66090	Aqur	towns	cite	cite	Bāʿaynāṯā ?	cornu2
38.22057	36.67173	Aqur	towns	ville	ville	Ǧisr Manbiǧ	cornu2
38.72906	36.69218	Aqur	waystations	etape	etape	Tall ʿAbdā ?	cornu2
42.96350	36.81597	Aqur	towns	cite	cite	Maʿlaṯāyaŧ	cornu2
40.06404	36.83758	Aqur	towns	cite	cite	Raʾs al-ʿAyn	cornu2
39.08906	36.88438	Aqur	towns	cite	cite	Ḥarrān	cornu2
42.07551	36.95274	Aqur	towns	cite	cite	Barqaʿīd	cornu2
38.43806	36.97910	Aqur	regions	territoire	territoire	Sarūǧ	cornu2
41.34352	36.98150	Aqur	villages	localite	localite	Tall Farāšaŧ	cornu2
40.42704	36.98749	Aqur	towns	cite	cite	Kafartūṯā	cornu2
41.72002	36.99109	Aqur	towns	cite	cite	Aḏramaŧ	cornu2
42.43096	37.04735	Aqur	towns	cite	cite	Fayšābūr	cornu2
41.22167	37.05514	Aqur	towns	cite	cite	Naṣībīn	cornu2
42.80477	37.06628	Aqur	waters	riviere	riviere	Ḫābūr al-Ḥasaniyyaŧ	cornu2
42.72248	37.11078	Aqur	towns	cite	cite	al-Ḥasaniyyaŧ	cornu2
41.24817	37.13080	Aqur	waters	riviere	riviere	Nahr al-Hirmās	cornu2
38.82122	37.14970	Aqur	towns	cite	cite	al-Ruhā	cornu2
40.58146	37.16749	Aqur	villages	localite	localite	Dunaysīr	cornu2
37.17675	37.17638	Aqur	towns	cite	cite	Dulūk	cornu2
40.94689	37.18527	Aqur	towns	cite	cite	Dārā	cornu2
39.76550	37.22748	Aqur	towns	cite	cite	Tall Mawzan	cornu2
42.19943	37.28521	Aqur	regions	territoire	territoire	Ǧazīraŧ Ibn ʿUmar	cornu2
38.52691	37.28854	Aqur	waystations	etape	etape	al-Muzāniyyaŧ ?	cornu2
40.71117	37.30186	Aqur	towns	cite	cite	Mārdīn	cornu2
42.64158	37.31295	Aqur	towns	cite	cite	Ṯamānīn	cornu2
42.51884	37.36064	Aqur	sites	montagne	montagne	Ǧabal al-Ǧūdī	cornu2
40.86321	37.40165	Aqur	regions	canton	canton	Ṯūr ʿAbdīn	cornu2
40.32760	37.40829	Aqur	waystations	etape	etape	Qaṣr Ibn Nāziʿ/Qaṣr Banū Nāziʿ ?	cornu2
38.91048	37.41051	Aqur	waystations	etape	etape	Ǧullāb	cornu2
37.68027	37.43156	Aqur	towns	cite	cite	Raʿbān	cornu2
38.19495	37.49466	Aqur	towns	ville	ville	Qaṣr Sanǧaŧ/Sanǧaŧ ?	cornu2
38.54365	37.54334	Aqur	towns	cite	cite	Sumaysāṭ	cornu2
36.92987	37.58314	Aqur	sites	placefrontiere	placefrontiere	Marʿaš	cornu2
41.42113	37.70021	Aqur	towns	cite	cite	Ḥiṣn Kayfā	cornu2
41.78238	37.72559	Aqur	towns	cite	cite	Tall Fāfān/ʿAyn Tall Fāfān	cornu2
37.52545	37.73001	Aqur	towns	cite	cite	al-Ḥadaṯ	cornu2
