geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg,eiSearch
الرون,الرون,الرون,30.7491,52.44,Faris,فارس,إصطخر,al-Run
الرون,قصر أعين,الرون,30.82066,52.44521,Faris,فارس,إصطخر,|Qasr Ain, Qasr Ayin, al-Run|
ده أشتران,ده أشتران,ده أشتران/ قرية الجمال,30.31412,55.70689,Faris,فارس,إصطخر,|Dih Ushturan, Qarya al-Jimal|
صاهه,صاهه,صاهه,36.10597,60.18929,Khurasan,فارس,إصطخر,Sahih
شبابك,شابابك,شابابك/ شاباوك/ شهرباباك,30.13418,55.05872,Faris,فارس,إصطخر,|Shababak, Shabawak, Shahrbabak|
حلب,حلب,حلب,36.19828,37.17518,Sham,الشام,قنسرين,Halab
أنطاكية,أنطاكية,أنطاكية,36.19718,36.18418,Sham,الشام,قنسرين,Antakiyya
بالس,بالس,بالس,36.02806,38.09005,Sham,الشام,قنسرين,Balis
بالس,بالش,بالس,29.64265,67.65738,Sijistan,الشام,قنسرين,|Balish, Balis, Walish, Walishtan|
السويدية,السويداء,السويدية,25.04884,39.03019,Jazirat al-Arab,الشام,قنسرين,|al-Suwayda, al-Suwaydiyya|
السويدية,السويدية,السويدية,36.0896,35.99387,Sham,الشام,قنسرين,al-Suwaydiyya
سميساط,سميساط,سميساط,37.54334,38.54365,Aqur,الشام,قنسرين,Sumaysat
منبج,منبج,منبج,36.54651,37.98957,Aqur,الشام,قنسرين,Manbij
قنسرين,قنسرين,قنسرين,35.99617,37.02701,Sham,الشام,قنسرين,Qinnasrin
مرعش,مرعش,مرعش,37.58314,36.92987,Aqur,الشام,قنسرين,Marash
إسكندرونة,إسكندرونة,إسكندرونة/ إسكندريية,36.57473,36.19234,Sham,الشام,قنسرين,|Iskandaruna, Iskandariya|
رفنية,رفنية,رفنية,34.93133,36.41054,Sham,الشام,قنسرين,Rafaniyya
جوسية,جوسية,جوسية,34.44699,36.56409,Sham,الشام,قنسرين,Jusiya
حماة,حماة,حماة,35.12587,36.76872,Sham,الشام,قنسرين,Hama
شيزر,شيزر,شيزر,35.25585,36.55938,Sham,الشام,قنسرين,Shayzar
معرة النعمان,معرة النعمان,معرة النعمان,35.64344,36.69124,Sham,الشام,قنسرين,Maarra al-Numan
