id,diedAt,country,city
HA5057,728,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5057,728,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5058,734,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5059,738,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5060,745,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5061,749,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5062,749,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5063,749,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5064,770,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5064,770,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5066,773,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5066,773,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5066,773,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5067,788,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5069,804,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5070,805,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5070,805,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5072,727,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5075,829,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5076,840,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5076,840,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5077,854,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5078,848,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5079,851,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5080,861,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5081,878,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5082,879,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5083,885,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5084,887,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5085,889,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5086,0,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5088,907,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5089,936,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5090,941,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5091,944,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5092,985,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5095,0,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5096,1005,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5097,1018,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5098,1024,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5099,1033,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5100,1046,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5101,1047,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5102,1044,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5103,1072,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5105,1079,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5108,1147,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5109,1148,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5110,1159,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5112,1135,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5113,1140,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5114,1161,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5115,1165,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5116,1172,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5118,1177,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5119,1194,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5119,1194,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5122,0,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5123,1200,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5124,1200,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5126,1265,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5127,1226,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5129,1265,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5130,1226,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5132,1262,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5133,1303,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5134,1245,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5135,1307,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5135,1307,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5136,1268,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5141,144,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5142,177,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5143,255,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5143,255,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5144,278,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5145,297,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5146,334,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5147,549,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5148,1176,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5149,147,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5151,550,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5152,747,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5153,953,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5154,994,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5156,544,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5157,585,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5158,0,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5159,149,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5161,220,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5162,225,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5163,350,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5164,358,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5165,385,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5166,390,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5167,401,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5167,401,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5168,408,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5169,481,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5170,420,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5171,486,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5172,544,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5173,573,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5173,573,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5176,624,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5177,629,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5178,632,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5179,632,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5183,734,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5185,746,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5187,807,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5188,873,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5189,897,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
