arBW,source,arTitle,lat,eiSearch,lon,region,translitTitleOther,topURI,searchNames,topTypeAlt,topType,translitTitle,arTitleOther,UStranslitTitle
bTlyws، bTlywv,Andalus,بطليوس,38.835,Batalyus-Batalyuth,-6.99606,Andalus,Baṭalyūs-Baṭalyūṯ,BATALYUS_069W388N_S_ANDA,Batalyus-Batalyuth,cite,towns,Baṭalyūs,بطليوس، بطليوث,Baṭalyūs
jbl AlCywn,Andalus,جبل العيون,37.41112,Jabal al-Uyun,-6.99696,Andalus,Ǧabal al-ʿUyūn,JABALUYUN_069W374N_S_ANDA,Jabal al-Uyun,cite,towns,Ǧabal al-ʿUyūn,جبل العيون,Ǧabal al-ʿUyūn
AlbE، Albs,Andalus,البش,38.87561,al-Bash-Albas,-7.1741,Andalus,al-Baš-Albas,BASH_071W388N_S_ANDA,al-Bash-Albas,cite,towns,al-Baš,البش، ألبس,al-Baš
lb,Andalus,لب,37.23807,Lab,-7.21996,Andalus,Lab,LAB_072W372N_S_ANDA,Lab,cite,towns,Lab,لب,Lab
jlmAnyo,Andalus,جلمانية,38.77894,Jalmaniya,-7.22985,Andalus,Ǧalmāniyaŧ,JALMANIYA_072W387N_S_ANDA,Jalmaniya,cite,towns,Ǧalmāniyaŧ,جلمانية,Ǧalmāniyaŧ
bAjo,Andalus,باجة,38.00689,Baja,-7.80444,Andalus,Bāǧaŧ,BAJA_078W380N_R_ANDA,Baja,district,regions,Bāǧaŧ,باجة,Bāǧaŧ
bAjo,Andalus,باجة,38.00689,Baja,-7.80444,Andalus,Bāǧaŧ,BAJA_078W380N_S_ANDA,Baja,cite,towns,Bāǧaŧ,باجة,Bāǧaŧ
byzo,Andalus,بيزة,39.02806,Biza,-7.87188,Andalus,Bīzaŧ,BIZA_078W390N_S_ANDA,Biza,cite,towns,Bīzaŧ,بيزة,Bīzaŧ
xEnbo، AxEnbo,Andalus,خشنبة,37.06463,Khushunuba-Ukhshunuba,-7.90515,Andalus,Ḫušunubaŧ-Uḫšunubaŧ,KHUSHUNUBA_079W370N_R_ANDA,Khushunuba-Ukhshunuba,district,regions,Ḫušunubaŧ,خشنبة، أخشنبة,Ḫušunubaŧ
xEnbo، AxEnbo,Andalus,خشنبة,37.06463,Khushunuba-Ukhshunuba,-7.90515,Andalus,Ḫušunubaŧ-Uḫšunubaŧ,KHUSHUNUBA_079W370N_S_ANDA,Khushunuba-Ukhshunuba,cite?,towns,Ḫušunubaŧ,خشنبة، أخشنبة,Ḫušunubaŧ
wAdy tAjw,Andalus,وادي تاجو,39.5299,Wadi Taju,-8.03553,Andalus,Wādī Tāǧū,WADITAJU_080W395N_W_ANDA,Wadi Taju,fleuve,waters,Wādī Tāǧū,وادي تاجو,Wādī Tāǧū
mdyno Elb، Elb,Andalus,مدينة شلب,37.22519,Madina Shalab-Shilb,-8.42308,Andalus,Madīnaŧ Šalab-Šilb,MADINASHALAB_084W372N_S_ANDA,Madina Shalab-Shilb,cite,towns,Madīnaŧ Šalab,مدينة شلب، شلب,Madīnaŧ Šalab
qSr bnw wrdAs,Andalus,قصر بنو ورداس,38.36698,Qasr Banu Wardas,-8.48333,Andalus,Qaṣr Banū Wardās,QASRBANUWARDAS_084W383N_S_ANDA,Qasr Banu Wardas,cite,towns,Qaṣr Banū Wardās,قصر بنو ورداس,Qaṣr Banū Wardās
Entryn,Andalus,شنترين,39.22337,Shantarin,-8.71712,Andalus,Šantarīn,SHANTARIN_087W392N_S_ANDA,Shantarin,cite,towns,Šantarīn,شنترين,Šantarīn
lEbwno,Andalus,لشبونة,38.76878,Lishbuna,-9.14514,Andalus,Lišbūnaŧ,LISHBUNA_091W387N_S_ANDA,Lishbuna,cite,towns,Lišbūnaŧ,لشبونة,Lišbūnaŧ
AlmCdn,Andalus,المعدن,38.64984,al-Madan,-9.19189,Andalus,al-Maʿdan,MADAN_091W386N_S_ANDA,al-Madan,cite,towns,al-Maʿdan,المعدن,al-Maʿdan
Entro,Andalus,شنترة,38.80838,Shantara,-9.37353,Andalus,Šantaraŧ,SHANTARA_093W388N_S_ANDA,Shantara,localite,villages,Šantaraŧ,شنترة,Šantaraŧ
AlbyDAc,Andalus,البيضاء,41.83632,al-Bayda,0.57785,Andalus,al-Bayḍāʾ,BAYDA_005E418N_S_ANDA,al-Bayda,cite,towns,al-Bayḍāʾ,البيضاء,al-Bayḍāʾ
TrTwEo,Andalus,طرطوشة,40.79221,Turtusha,0.60933,Andalus,Ṭurṭūšaŧ,TURTUSHA_006E407N_S_ANDA,Turtusha,cite,towns,Ṭurṭūšaŧ,طرطوشة,Ṭurṭūšaŧ
lArdo,Andalus,لاردة,41.60948,Larida,0.64889,Andalus,Lāridaŧ,LARIDA_006E416N_S_ANDA,Larida,placefrontiere,waystations,Lāridaŧ,لاردة,Lāridaŧ
yAbso,Andalus,يابسة,38.94978,Yabisa,1.41141,Andalus,Yābisaŧ,YABISA_014E389N_R_ANDA,Yabisa,ile,regions,Yābisaŧ,يابسة,Yābisaŧ
bHr Alrwm,Andalus,بحر الروم,37.28888,Bahr al-Rum,1.71713,Andalus,Baḥr al-Rūm,BAHRRUM_017E372N_W_ANDA,Bahr al-Rum,mer,waters,Baḥr al-Rūm,بحر الروم,Baḥr al-Rūm
jrndo,Andalus,جرندة,41.93607,Jirunda,2.84472,Andalus,Ǧirundaŧ,JIRUNDA_028E419N_S_ANDA,Jirunda,cite,towns,Ǧirundaŧ,جرندة,Ǧirundaŧ
Arbwno,Andalus,أربونة,43.18643,Arbuna,3.00118,Andalus,Arbūnaŧ,ARBUNA_030E431N_S_ANDA,Arbuna,cite,towns,Arbūnaŧ,أربونة,Arbūnaŧ
mrCE,Aqur,مرعش,37.58314,Marash,36.92987,Aqur,Marʿaš,MARASH_369E375N_S_AQUR,Marash,placefrontiere,waystations,Marʿaš,مرعش,Marʿaš
dlwk,Aqur,دلوك,37.17638,Duluk,37.17675,Aqur,Dulūk,DULUK_371E371N_S_AQUR,Duluk,cite,towns,Dulūk,دلوك,Dulūk
AlHdv,Aqur,الحدث,37.73001,al-Hadath,37.52545,Aqur,al-Ḥadaṯ,HADATH_375E377N_S_AQUR,al-Hadath,cite,towns,al-Ḥadaṯ,الحدث,al-Ḥadaṯ
rCbAn,Aqur,رعبان,37.43156,Raban,37.68027,Aqur,Raʿbān,RABAN_376E374N_S_AQUR,Raban,cite,towns,Raʿbān,رعبان,Raʿbān
zbTro,Aqur,زبطرة,38.09311,Zibatra,37.90461,Aqur,Zibaṭraŧ,ZIBATRA_379E380N_S_AQUR,Zibatra,placefrontiere,waystations,Zibaṭraŧ,زبطرة,Zibaṭraŧ
Crqo,Aqur,عرقة,38.36373,Arqa,37.96251,Aqur,ʿArqaŧ,ARQA_379E383N_S_AQUR,Arqa,etape,waystations,ʿArqaŧ,عرقة,ʿArqaŧ
mnbj,Aqur,منبج,36.54651,Manbij,37.98957,Aqur,Manbiǧ,MANBIJ_379E365N_S_AQUR,Manbij,cite,towns,Manbiǧ,منبج,Manbiǧ
HSn mnSwr,Aqur,حصن منصور,37.82371,Hisn Mansur,38.05966,Aqur,Ḥiṣn Manṣūr,HISNMANSUR_380E378N_S_AQUR,Hisn Mansur,placefrontiere,waystations,Ḥiṣn Manṣūr,حصن منصور,Ḥiṣn Manṣūr
qSr snjo، snjo,Aqur,قصر سنجة,37.49466,Qasr Sanja-Sanja,38.19495,Aqur,Qaṣr Sanǧaŧ-Sanǧaŧ,QASRSANJA_381E374N_S_AQUR,Qasr Sanja-Sanja,ville,towns,Qaṣr Sanǧaŧ,قصر سنجة، سنجة,Qaṣr Sanǧaŧ
jsr mnbj,Aqur,جسر منبج,36.67173,Jisr Manbij,38.22057,Aqur,Ǧisr Manbiǧ,JISRMANBIJ_382E366N_S_AQUR,Jisr Manbij,ville,towns,Ǧisr Manbiǧ,جسر منبج,Ǧisr Manbiǧ
mlTyn، mlTyo,Aqur,ملطين,38.35806,Malatin-Malatiya,38.35767,Aqur,Malaṭīn-Malaṭiyaŧ,MALATIN_383E383N_S_AQUR,Malatin-Malatiya,cite,towns,Malaṭīn,ملطين، ملطية,Malaṭīn
Sfyn,Aqur,صفين,35.8566,Siffin,38.4104,Aqur,Ṣiffīn,SIFFIN_384E358N_O_AQUR,Siffin,lieu,sites,Ṣiffīn,صفين,Ṣiffīn
srwj,Aqur,سروج,36.9791,Saruj,38.43806,Aqur,Sarūǧ,SARUJ_384E369N_R_AQUR,Saruj,territoire,regions,Sarūǧ,سروج,Sarūǧ
AlmzAnyo,Aqur,المزانية,37.28854,al-Muzaniyya,38.52691,Aqur,al-Muzāniyyaŧ,MUZANIYYA_385E372N_S_AQUR,al-Muzaniyya,etape,waystations,al-Muzāniyyaŧ,المزانية,al-Muzāniyyaŧ
qlCo Abryq,Aqur,قلعة إبريق,39.05271,Qala Ibriq,38.53819,Aqur,Qalʿaŧ Ibrīq,QALAIBRIQ_385E390N_S_AQUR,Qala Ibriq,placefrontiere,waystations,Qalʿaŧ Ibrīq,قلعة إبريق,Qalʿaŧ Ibrīq
smysAT,Aqur,سميساط,37.54334,Sumaysat,38.54365,Aqur,Sumaysāṭ,SUMAYSAT_385E375N_S_AQUR,Sumaysat,cite,towns,Sumaysāṭ,سميساط,Sumaysāṭ
