Lon	Lat	Region	TypeCat	KW	Name	Map
41.42113	37.70021	Aqur	towns	cite	Ḥiṣn Kayfā	cornu2
38.05966	37.82371	Aqur	sites	placefrontiere	Ḥiṣn Manṣūr	cornu2
39.07106	36.38728	Aqur	towns	cite	Ḥiṣn Maslamaŧ	cornu2
39.2247	38.75874	Aqur	sites	forteresse	Ḥiṣn Ziyād	cornu2
40.42704	36.98749	Aqur	towns	cite	Kafartūṯā	cornu2
39.02492	39.58627	Aqur	sites	placefrontiere	Kamaḫ/Kamāḫ	cornu2
42.9635	36.81597	Aqur	towns	cite	Maʿlaṯāyaŧ	cornu2
38.35767	38.35806	Aqur	towns	cite	Malaṭīn/Malaṭiyaŧ 	cornu2
42.55713	39.1437	Aqur	towns	cite	Malāzkird/Malāzǧird/Manāzǧird	cornu2
37.98957	36.54651	Aqur	towns	cite	Manbiǧ	cornu2
36.92987	37.58314	Aqur	sites	placefrontiere	Marʿaš	cornu2
40.71117	37.30186	Aqur	towns	cite	Mārdīn	cornu2
43.26652	36.14235	Aqur	towns	cite	Marǧ Ǧuhaynaŧ/Mar Ǧuhaynaŧ	cornu2
41.00798	38.14322	Aqur	towns	cite	Mayyāfāriqīn	cornu2
43.055	36.63683	Aqur	villages	localite	Mazāriʿī ?	cornu2
40.75934	35.74173	Aqur	towns	cite	Mīkisīn/Maykisīn/Mākisīn	cornu2
39.09656	36.11754	Aqur	waters	riviere	Nahr al-Balīḫ	cornu2
40.08449	38.07602	Aqur	waters	riviere	Nahr al-Ḏīb/Nahr al-Kilāb	cornu2
40.73502	35.50335	Aqur	waters	riviere	Nahr al-Ḫābūr	cornu2
41.24817	37.1308	Aqur	waters	riviere	Nahr al-Hirmās	cornu2
41.97905	37.88869	Aqur	waters	riviere	Nahr al-Razb/al-Razm/al-Zarm	cornu2
40.22779	38.77905	Aqur	waters	riviere	Nahr Arsanās	cornu2
43.60422	34.69499	Aqur	waters	riviere	Nahr Diǧlaŧ	cornu2
43.04545	35.00028	Aqur	waters	riviere	Nahr Ṯarṯār	cornu2
41.22167	37.05514	Aqur	towns	cite	Naṣībīn	cornu2
43.175	36.35104	Aqur	towns	cite	Nīnawá/Nūnawā	cornu2
38.53819	39.05271	Aqur	sites	placefrontiere	Qalʿaŧ Ibrīq	cornu2
40.43747	35.1462	Aqur	towns	cite	Qarqīsiyyaŧ	cornu2
40.3276	37.40829	Aqur	waystations	etape	Qaṣr Ibn Nāziʿ/Qaṣr Banū Nāziʿ ?	cornu2
38.19495	37.49466	Aqur	towns	ville	Qaṣr Sanǧaŧ/Sanǧaŧ ?	cornu2
37.68027	37.43156	Aqur	towns	cite	Raʿbān	cornu2
40.45784	34.98817	Aqur	towns	cite	Raḥbaŧ Malik Ibn Ṭawq	cornu2
40.06404	36.83758	Aqur	towns	cite	Raʾs al-ʿAyn	cornu2
40.56071	38.57565	Aqur	sites	forteresse	Ribāṭ Ḏū al-Qarnayn	cornu2
38.43806	36.9791	Aqur	regions	territoire	Sarūǧ	cornu2
38.4104	35.8566	Aqur	sites	lieu	Ṣiffīn ?	cornu2
39.83119	38.61412	Aqur	sites	placefrontiere	Šimšāṭ	cornu2
41.89101	36.32446	Aqur	towns	cite	Sinǧār	cornu2
40.58767	35.24207	Aqur	towns	cite	Sukayr al-ʿAbbās	cornu2
38.54365	37.54334	Aqur	towns	cite	Sumaysāṭ	cornu2
40.76153	36.16114	Aqur	towns	cite	Ṭābān/Ṭalabān	cornu2
38.72906	36.69218	Aqur	waystations	etape	Tall ʿAbdā ?	cornu2
42.49401	36.36312	Aqur	towns	cite	Tall Aʿfar	cornu2
41.78238	37.72559	Aqur	towns	cite	Tall Fāfān/ʿAyn Tall Fāfān	cornu2
41.34352	36.9815	Aqur	villages	localite	Tall Farāšaŧ	cornu2
39.75447	38.19784	Aqur	towns	cite?	Tall Ḥūm	cornu2
39.13855	36.61998	Aqur	towns	cite	Tall Maḥrá/Tall Baḥrá ?	cornu2
39.7655	37.22748	Aqur	towns	cite	Tall Mawzan	cornu2
42.64158	37.31295	Aqur	towns	cite	Ṯamānīn	cornu2
41.91628	37.78735	Aqur	villages	localite	Ṭanzaŧ	cornu2
40.87703	36.38969	Aqur	towns	cite	Tunānīr/Tunaynīr	cornu2
40.86321	37.40165	Aqur	regions	canton	Ṯūr ʿAbdīn	cornu2
40.42465	38.18191	Aqur	waters	riviere	Wādī al-Rams/al-Rass/Wādī Ṣalb	cornu2
40.92477	34.42004	Aqur	waystations	etape	Wādī al-Sibāʿ	cornu2
41.17006	37.9833	Aqur	waters	riviere	Wādī Masūliyāt/Nahr Sātīdamā/Wādī Sātīdamā	cornu2
41.49366	38.01078	Aqur	waters	riviere	Wādī Ṣarbaṭ/Nahr Ṣarbaṭ/Ṣarbaṭ	cornu2
43.87398	36.3752	Aqur	waters	riviere	Zāb al-Kabīr/Zāb al-Aʿlá	cornu2
44.10965	35.64182	Aqur	waters	riviere	Zāb al-Ṣaġīr/Zāb al-Asfal	cornu2
37.90461	38.09311	Aqur	sites	placefrontiere	Zibaṭraŧ	cornu2
41.21428	34.45727	Aqur/Iraq	waters	riviere	Nahr al-Furāt	cornu2
42.45438	31.86163	Badiyat al-Arab	waystations	etape	al-Abyaḍ	cornu9
42.97781	27.44255	Badiyat al-Arab	waystations	etape	al-Aǧfur	cornu9
37.4317	29.87858	Badiyat al-Arab	waystations	etape	al-Aǧwalī	cornu9
42.23928	32.28927	Badiyat al-Arab	waystations	etape	al-Aḫdamiyyaŧ	cornu9
36.79381	32.31179	Badiyat al-Arab	waystations	etape	al-Aʿnak	cornu9
43.61471	30.09074	Badiyat al-Arab	waystations	etape	al-ʿAqabaŧ	cornu9
37.83126	27.15186	Badiyat al-Arab	waystations	etape	al-Aqrāʿ	cornu7
36.92899	31.64055	Badiyat al-Arab	waystations	etape	al-ʿAwnīd	cornu9
36.87768	31.84612	Badiyat al-Arab	waystations	etape	al-Azraq	cornu9
37.32662	32.21167	Badiyat al-Arab	waystations	etape	al-Baqīʿaŧ	cornu9
41.46573	31.67372	Badiyat al-Arab	waystations	etape	al-Ǧamʿ	cornu9
38.12681	30.48436	Badiyat al-Arab	sites	mares	al-Ǧarbā/al-Ǧarbá	cornu9
40.18305	31.84948	Badiyat al-Arab	waystations	etape	al-Ǧubbaŧ/al-Maḥnaŧ	cornu9
37.19786	27.92136	Badiyat al-Arab	waystations	etape	al-Ǧunaynaŧ	cornu9
37.34142	31.36925	Badiyat al-Arab	towns	cite	al-Ġurrabaŧ	cornu9
43.99014	28.46139	Badiyat al-Arab	regions	region	al-Habīr	cornu9
39.6759	31.9977	Badiyat al-Arab	waystations	etape	al-Ḫafiyyaŧ	cornu9
41.37298	32.07507	Badiyat al-Arab	waystations	etape	al-Ḫalāṭ	cornu9
40.76716	31.48039	Badiyat al-Arab	waystations	etape	al-Ḫanfas/al-Ḥanfas/al-Ǧanfas	cornu9
39.82192	31.43199	Badiyat al-Arab	waystations	etape	al-Ḥašiyyaŧ	cornu9
40.70599	31.64853	Badiyat al-Arab	waystations	etape	al-Ḫaṭṭá	cornu9
42.07352	31.70731	Badiyat al-Arab	waystations	etape	al-Ḥusá/al-Ǧusá	cornu9
43.13666	27.91046	Badiyat al-Arab	waystations	etape	al-Ḫuzaymiyyaŧ	cornu9
42.21215	27.2743	Badiyat al-Arab	regions	region	al-Manhab	cornu9
44.00938	31.10097	Badiyat al-Arab	sites	puits	al-Muġīṯaŧ	cornu9
37.46327	27.73026	Badiyat al-Arab	waystations	etape	al-Muḥdaṯaŧ	cornu9
37.15494	31.51278	Badiyat al-Arab	waystations	etape	al-Muḥdaṯaŧ	cornu9
37.46475	31.21242	Badiyat al-Arab	sites	pointdeau	al-Nabk	cornu9
42.853	31.4989	Badiyat al-Arab	waystations	etape	al-Naḥīt	cornu9
44.45181	26.35812	Badiyat al-Arab	waystations	etape	al-Nibāǧ	cornu7
43.61126	29.78571	Badiyat al-Arab	waystations	etape	al-Qāʾ	cornu9
43.92995	26.08634	Badiyat al-Arab	waystations	etape	al-Qaryatayn	cornu9
39.59203	32.14778	Badiyat al-Arab	waystations	etape	al-Qulūfī/al-ʿAlawī	cornu9
41.7933	31.51068	Badiyat al-Arab	waystations	etape	al-Qurāy	cornu9
43.8229	31.9366	Badiyat al-Arab	waystations	etape	al-Quṭquṭānaŧ	cornu9
38.64087	32.03911	Badiyat al-Arab	waystations	etape	al-Rawārá/al-Dawārá	cornu9
43.95117	31.85995	Badiyat al-Arab	waystations	etape	al-Ruhaymaŧ	cornu9
