geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg
الفيوم,الفيوم,الفيوم,29.35921,30.84266,Egypt,مصر,الصعيد
سمسطا,سمسطا,سمسطا,28.96006,30.88762,Egypt,مصر,الصعيد
تندة,تندة,تندة,27.76484,30.7011,Egypt,مصر,الصعيد
طحا,طحا,طحا,28.27313,30.69125,Egypt,مصر,الصعيد
الموصل,الموصل,الموصل,36.32809,43.127,Aqur,أقور,ديار ربيعة
الحديثة,الحديثة,الحديثة,34.10682,42.38707,Aqur,أقور,ديار ربيعة
الحديثة,الحديثة,الحديثة,36.02054,43.39249,Aqur,أقور,ديار ربيعة
الحسنية,الحسنية,الحسنية,37.11078,42.72248,Aqur,أقور,ديار ربيعة
سنجار,سنجار,سنجار,36.32446,41.89101,Aqur,أقور,ديار ربيعة
الجبال,الجبال,الجبال/ عين الجبال,36.2374,41.62102,Aqur,أقور,ديار ربيعة
الجبال,الجبال,الجبال,30.26155,35.32238,Sham,أقور,ديار ربيعة
بلد,بلد,بلد,36.47417,42.758,Aqur,أقور,ديار ربيعة
أذرمة,أذرمة,أذرمة,36.99109,41.72002,Aqur,أقور,ديار ربيعة
برقعيد,برقعيد,برقعيد,36.95274,42.07551,Aqur,أقور,ديار ربيعة
نصيبين,نصيبين,نصيبين,37.05514,41.22167,Aqur,أقور,ديار ربيعة
دارا,دارا,دارا,37.18527,40.94689,Aqur,أقور,ديار ربيعة
ثمانين,ثمانين,ثمانين,37.31295,42.64158,Aqur,أقور,ديار ربيعة
الرقة,الرقة,الرقة,35.9493,39.05128,Aqur,أقور,ديار مضر
الرافقة,الرافقة,الرافقة,35.94235,39.07703,Aqur,أقور,ديار مضر
الرافقة,الرافقة,الرافقة,30.6947,30.73593,Egypt,أقور,ديار مضر
تل محرى,تل محرٰى,تل محرٰى/ تل بحرٰى,36.61998,39.13855,Aqur,أقور,ديار مضر
باجروان,باجروان,باجروان,36.13571,38.98556,Aqur,أقور,ديار مضر
باجروان,باجروان,باجروان/ موقان/ موغكان,39.2256,48.12475,Rihab,أقور,ديار مضر
